time,open,close,high,low,volume,Unnamed: 0
1628716500000,3.0049,3.0049,3.0049,3.0049,0.0133721,
1628716560000,2.9824,2.9824,2.9824,2.9824,11.77412798,
1628716620000,2.9896,2.9896,2.9896,2.9896,0.69351197,
1628716680000,2.9901,2.9901,2.9901,2.9901,0.06259011,
1628716800000,2.988,2.9939,2.9939,2.988,3.91550821,
1628717340000,3.0036,3.0057,3.0057,3.0036,19.5240469,
1628717400000,2.9991,2.9991,2.9991,2.9991,0.34494093,
1628717520000,3.0158,3.0133,3.0158,3.0133,49.33595505,
1628717580000,3.0212,3.0221,3.0221,3.0212,19.431576,
1628717640000,3.0362,3.0362,3.0362,3.0362,1.1,
1628718240000,3.0471,3.0471,3.0471,3.0471,3.84751679,
1628718300000,3.0456,3.0456,3.0456,3.0456,0.35523633,
1628718360000,3.0459,3.0459,3.0459,3.0459,0.03735786,
1628718420000,3.0468,3.0468,3.0468,3.0468,0.03898404,
1628718480000,3.0431,3.0431,3.0431,3.0431,0.00475249,
1628718600000,3.051,3.047,3.051,3.047,0.10768663,
1628718720000,3.0475,3.0475,3.0475,3.0475,0.01581258,
1628718840000,3.0378,3.0378,3.0378,3.0378,0.00197884,
1628718960000,3.0388,3.0388,3.0388,3.0388,7.71932558,
1628719140000,3.0356,3.0356,3.0356,3.0356,3.86507691,
1628719200000,3.0332,3.0332,3.0332,3.0332,0.10459508,
1628719500000,3.024,3.009,3.024,3.009,1506.60672118,
1628719620000,3.0106,3.0106,3.0106,3.0106,0.79946617,
1628719860000,3.0011,2.9988,3.0011,2.9988,12.06021196,
1628719980000,2.9993,2.9993,2.9993,2.9993,0.056966,
1628720100000,2.9897,2.9928,2.9928,2.9866,27.8673452,
1628720580000,2.9617,2.9617,2.9617,2.9617,24.65,
1628720640000,2.9633,2.9633,2.9633,2.9633,119.88,
1628720760000,2.9595,2.9479,2.9595,2.9479,1061.86550382,
1628721060000,2.9638,2.9638,2.9638,2.9638,3.95936975,
1628721300000,2.9571,2.9571,2.9571,2.9571,7.93007191,
1628721660000,2.9637,2.9637,2.9637,2.9637,3.95862963,
1628721780000,2.9516,2.9486,2.9516,2.9486,11.89875024,
1628721900000,2.9459,2.9459,2.9459,2.9459,7.95669443,
1628722020000,2.9616,2.9616,2.9616,2.9616,0.01142319,
1628722140000,2.9486,2.9486,2.9486,2.9486,0.06613215,
1628722260000,2.9443,2.945,2.945,2.9443,4.65335259,
1628722620000,2.9606,2.9621,2.9621,2.9606,11.89512625,
1628722680000,2.9528,2.9528,2.9528,2.9528,0.07203913,
1628723040000,2.9727,2.9654,2.9753,2.9654,1707.35006405,
1628723160000,2.9739,2.9857,2.9857,2.9739,11.87319663,
1628723220000,2.984,2.9982,3.0009,2.984,5511.48651105,
1628723280000,2.9936,2.9936,2.9936,2.9936,61.0,
1628723340000,2.9944,2.9888,2.9944,2.9888,259.66598447,
1628723400000,2.9849,2.9821,2.9849,2.9821,133.7714396,
1628723460000,2.9886,2.9886,2.9886,2.9886,0.43575069,
1628723580000,2.9794,2.9793,2.9794,2.9793,68.87511705,
1628723640000,2.9751,2.9739,2.9751,2.9739,121.9999,
1628723700000,2.9676,2.9676,2.9676,2.9676,0.02239807,
1628723820000,2.9719,2.9719,2.9719,2.9719,0.21523693,
1628723940000,2.9617,2.9721,2.9721,2.9617,61.20240142,
1628724060000,2.9621,2.9621,2.9621,2.9621,0.35623519,
1628724120000,2.9615,2.9615,2.9615,2.9615,3.95867213,
1628724180000,2.954,2.9562,2.9562,2.953,73.25467816,
1628724240000,2.9562,2.9562,2.9562,2.9562,0.04342549,
1628724300000,2.9479,2.9426,2.9479,2.9426,1100.57275519,
1628724360000,2.9577,2.9577,2.9577,2.9577,0.65392329,
1628724480000,2.9473,2.9469,2.9473,2.9459,12.52168495,
1628725140000,2.9568,2.9568,2.9568,2.9568,61.0,
1628725260000,2.9565,2.9565,2.9565,2.9565,0.04175469,
1628725380000,2.9671,2.9685,2.9685,2.9671,0.01160854,
1628725560000,2.9508,2.9493,2.9508,2.9493,221.0,
1628725620000,2.9512,2.9512,2.9512,2.9512,0.08059398,
1628725800000,2.9517,2.9517,2.9517,2.9517,0.00760024,
1628725860000,2.9504,2.9504,2.9504,2.9504,3.97683494,
1628725920000,2.9518,2.9518,2.9518,2.9518,0.00295455,
1628726040000,2.9575,2.9634,2.9634,2.9575,1422.11600769,
1628726220000,2.9584,2.9578,2.9584,2.9578,11.88629,
1628726280000,2.9545,2.9474,2.9545,2.9474,61.3438523,
1628726400000,2.9325,2.9354,2.9354,2.9277,974.71987036,
1628726520000,2.9531,2.9535,2.9535,2.9531,15.86874822,
1628726580000,2.9559,2.9578,2.9578,2.9557,19.83361952,
1628726640000,2.973,2.9779,2.9779,2.973,1949.45,
1628727840000,2.9902,2.9902,2.9902,2.9902,3.91917395,
1628728260000,2.978,2.9734,2.978,2.9734,8062.76554824,
1628728320000,2.9687,2.9687,2.9687,2.9687,0.06944053,
1628728440000,2.9684,2.9684,2.9684,2.9684,0.01956751,
1628728560000,2.9552,2.9552,2.9552,2.9552,3.96339278,
1628728620000,2.9582,2.9582,2.9582,2.9582,0.46396855,
1628729100000,2.9732,2.98,2.98,2.9732,1108.38318194,
1628729220000,2.9841,2.9841,2.9841,2.9841,0.02072641,
1628729400000,2.981,2.981,2.981,2.981,0.01694383,
1628731260000,3.0233,3.0249,3.0249,3.0233,23.27766211,
1628731380000,3.0214,3.0208,3.0214,3.0208,11.62651829,
1628731440000,3.0229,3.0229,3.0229,3.0229,0.13528786,
1628731620000,3.0356,3.0356,3.0356,3.0356,7.72601701,
1628731920000,3.0354,3.0354,3.0354,3.0354,50.0,
1628731980000,3.0445,3.0445,3.0445,3.0445,0.00654452,
1628732460000,3.0352,3.0367,3.0367,3.0352,4.34228034,
1628732520000,3.0369,3.0369,3.0369,3.0369,0.03100517,
1628732760000,3.034,3.0331,3.034,3.0331,19.31696739,
1628732820000,3.0322,3.0288,3.0322,3.0288,3.88243411,
1628732880000,3.0265,3.0265,3.0265,3.0265,0.26551673,
1628732940000,3.0351,3.0351,3.0351,3.0351,0.0264225,
1628733420000,3.0403,3.0403,3.0403,3.0403,3.85139027,
1628733480000,3.042,3.0411,3.042,3.0411,19.24567339,
1628734320000,3.0303,3.0332,3.0332,3.0303,3.91024105,
1628734380000,3.0346,3.0346,3.0346,3.0346,0.25822799,
1628736120000,3.0485,3.0492,3.0492,3.0485,15.37451431,
1628736360000,3.0584,3.0584,3.0584,3.0584,7.66989751,
1628736420000,3.0561,3.0561,3.0561,3.0561,137.70212072,
1628736480000,3.0499,3.0566,3.0566,3.0499,1640.16475588,
1628736540000,3.0456,3.0456,3.0456,3.0456,3.84691687,
1628736600000,3.0534,3.0534,3.0534,3.0534,0.13957832,
1628736660000,3.0541,3.0541,3.0541,3.0541,0.01260042,
1628739180000,3.0299,3.0299,3.0299,3.0299,3.87098058,
1628739240000,3.0327,3.0327,3.0327,3.0327,0.78851831,
1628739300000,3.0346,3.0346,3.0346,3.0346,0.08490992,
1628740320000,3.0193,3.0175,3.0193,3.0175,46.549293590000005,
1628740380000,3.0186,3.0186,3.0186,3.0186,0.56306086,
1628740500000,3.0132,3.0066,3.0132,3.0066,0.1006027,
1628740620000,3.0088,3.0099,3.0099,3.0088,0.37392943,
1628740740000,3.001,3.001,3.001,3.001,3.90934048,
1628740860000,3.0072,3.0082,3.0082,3.0072,0.33329451,
1628741460000,3.0152,3.0137,3.0152,3.0137,23.32584394,
1628741760000,2.9945,2.9945,2.9945,2.9945,7.83091575,
1628741880000,2.9857,2.9866,2.9866,2.9857,3.99943384,
1628741940000,2.9888,2.9805,2.9888,2.9805,8.76716179,
1628742000000,2.9805,2.9805,2.9805,2.9805,0.05764637,
1628742060000,2.9743,2.9726,2.9743,2.9703,3056.94713285,
1628742180000,2.9721,2.9806,2.9806,2.9721,0.05873635,
1628742300000,2.9708,2.9708,2.9708,2.9708,0.28930756,
1628742420000,2.9726,2.9724,2.9726,2.9724,0.37437356,
1628743920000,2.961,2.9624,2.9624,2.961,23.78236393,
1628743980000,2.9681,2.9681,2.9681,2.9681,0.04173557,
1628744640000,2.9598,2.9598,2.9598,2.9598,3.96205363,
